LocationID,Location,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude
1778,SNNPR -> Hadiya -> Misrak Badawacho,SNNPR,6.46580872,36.80646946
1779,Somali -> Erer -> Wangey,Somali,6.93277841,43.32988331
1780,Somali -> Nogob -> Hararey,Somali,6.93277841,43.32988331
1781,Somali -> Nogob -> Horshagah,Somali,6.93277841,43.32988331
1782,Oromia -> Borena -> Elwaya,Oromia,7.50798643,38.7652127
1783,Somali -> Liben -> Qarsadula ,Somali,6.93277841,43.32988331
1784,Oromia -> Arsi -> Dodota,Oromia,7.50798643,38.7652127
1785,Oromia -> Arsi -> Ziway Dugda,Oromia,7.50798643,38.7652127
1786,SNNPR -> Segen Peoples' -> Alle,SNNPR,6.46580872,36.80646946
1787,SNNPR -> Gurage -> Mareko,SNNPR,6.46580872,36.80646946
1788,SNNPR -> Alaba -> Alaba SP Woreda,SNNPR,6.46580872,36.80646946
1789,Afar -> Zone 1 -> Mile,Afar,12.03644506,40.77273541
1790,Afar -> Zone 2 -> Koneba,Afar,12.03644506,40.77273541
1791,SNNPR -> Sidama -> Bona Zuria,SNNPR,6.46580872,36.80646946
1792,SNNPR -> Sidama -> Loka Abaya,SNNPR,6.46580872,36.80646946
1793,SNNPR -> Sidama -> Hawassa Zuria,SNNPR,6.46580872,36.80646946
1794,Beneshangul Gumuz -> Asosa,Beneshangul Gumuz,10.50292442,35.44030702
1795,Oromia -> Arsi -> Shanan Kolu,Oromia,7.50798643,38.7652127
1796,Oromia -> Arsi -> Gololcha Arsi,Oromia,7.50798643,38.7652127
1797,SNNPR -> Dawro -> Loma Bosa,SNNPR,6.46580872,36.80646946
1798,SNNPR -> Dawro -> Gena Bosa,SNNPR,6.46580872,36.80646946
1799,Oromia -> Arsi -> Amigna,Oromia,7.50798643,38.7652127
1800,Oromia -> Arsi -> Bele Gesgar,Oromia,7.50798643,38.7652127
1801,Oromia -> Arsi -> Robe,Oromia,7.50798643,38.7652127
1802,Oromia -> Arsi -> Shirka,Oromia,7.50798643,38.7652127
1803,Oromia -> West Harerge -> Mieso,Oromia,7.50798643,38.7652127
1804,Oromia -> Arsi -> Chole,Oromia,7.50798643,38.7652127
1805,Oromia -> East Harerge -> Gursum,Oromia,7.50798643,38.7652127
1806,Oromia -> Guji -> Girja (Harenfema),Oromia,7.50798643,38.7652127
1807,Somali -> Doolo -> Lehel-Yucub,Somali,6.93277841,43.32988331
1808,Oromia -> Bale -> Berbere,Oromia,7.50798643,38.7652127
1809,Oromia -> Guji -> Surroo,Oromia,7.50798643,38.7652127
1810,Oromia -> Borena -> Bule Hora,Oromia,7.50798643,38.7652127
1811,Oromia -> Borena -> Abaya,Oromia,7.50798643,38.7652127
1812,Somali -> Afder -> Qoxle,Somali,6.93277841,43.32988331
1813,Somali -> Afder -> God-god,Somali,6.93277841,43.32988331
1814,Somali -> Jarar -> Dig,Somali,6.93277841,43.32988331
1815,Somali -> Jarar -> Bilcil-bur,Somali,6.93277841,43.32988331
1816,Somali -> Erer -> Yahob ,Somali,6.93277841,43.32988331
1817,Somali -> Erer -> Qubi,Somali,6.93277841,43.32988331
1818,Oromia -> Borena -> Guchi,Oromia,7.50798643,38.7652127
1819,Oromia -> East Harerge -> Kersa,Oromia,7.50798643,38.7652127
1820,Amhara -> South Gonder -> Simada,Amhara,11.56495248,38.04353615
1821,Somali -> Nogob -> Meyumuluka,Somali,6.93277841,43.32988331
1822,Amhara -> North Wello -> Meket,Amhara,11.56495248,38.04353615
1823,Amhara -> North Wello -> Dawunt,Amhara,11.56495248,38.04353615
1824,Amhara -> North Wello -> Wadla,Amhara,11.56495248,38.04353615
1825,Oromia -> West Guji -> Bule Hora,Oromia,7.50798643,38.7652127
1826,SNNPR -> Gedeo -> Yirgachefe,SNNPR,6.46580872,36.80646946
1827,SNNPR -> Gedeo -> Kochere,SNNPR,6.46580872,36.80646946
1828,Oromia -> West Guji -> Kercha,Oromia,7.50798643,38.7652127
1829,Oromia -> West Guji -> Gelana,Oromia,7.50798643,38.7652127
1830,Oromia -> West Guji -> Abaya,Oromia,7.50798643,38.7652127
1831,SNNPR -> Gedeo -> Kochere Gedeb,SNNPR,6.46580872,36.80646946
1832,SNNPR -> Gedeo -> Bule,SNNPR,6.46580872,36.80646946
1833,SNNPR -> Gedeo -> Wenago,SNNPR,6.46580872,36.80646946
1834,Afar -> Zone 5 (Hari Rasu ) -> Dewe,Afar,12.03644506,40.77273541
1835,Afar -> Zone 1(Awsi Rasu) -> Aysaita,Afar,12.03644506,40.77273541
1836,Afar -> Zone 4  (Fantana Rasu ) -> Teru,Afar,12.03644506,40.77273541
1837,Afar -> Zone 5 (Hari Rasu ) -> Dalfagi,Afar,12.03644506,40.77273541
1838,Afar -> Zone 4  (Fantana Rasu ) -> Yalo,Afar,12.03644506,40.77273541
1839,Oromia -> West Guji -> Hambela Wamena,Oromia,7.50798643,38.7652127
1840,Oromia -> West Guji -> Birbirsa Kojowa,Oromia,7.50798643,38.7652127
1841,Oromia -> West Hararge -> Doba,Oromia,7.50798643,38.7652127
1842,Oromia -> East Hararge -> Gursum,Oromia,7.50798643,38.7652127
1843,Oromia -> East Hararge -> Babile,Oromia,7.50798643,38.7652127
1844,Oromia -> East Hararge -> Fedis,Oromia,7.50798643,38.7652127
1845,Beneshangul Gumu,Beneshangul Gumu,10.50292442,35.44030702
1846,SNNPR -> Gedeo,SNNPR,6.46580872,36.80646946
1847,Oromia -> West Hararge -> Chiro Zuria,Oromia,7.50798643,38.7652127
1848,Oromia -> East Hararge -> Goro Gutu,Oromia,7.50798643,38.7652127
1849,Oromia -> East Hararge -> Jarso,Oromia,7.50798643,38.7652127
1850,Oromia -> East Hararge -> Haro Maya,Oromia,7.50798643,38.7652127
1851,Oromia -> East Hararge -> Midega Tola,Oromia,7.50798643,38.7652127
1852,Oromia -> West Hararge -> Daro Lebu,Oromia,7.50798643,38.7652127
1853,Oromia -> East Hararge -> Chinaksen,Oromia,7.50798643,38.7652127
1854,Oromia -> West Hararge -> Mieso,Oromia,7.50798643,38.7652127
1855,Oromia -> East Hararge -> Meyu,Oromia,7.50798643,38.7652127
1856,Oromia -> East Hararge -> Kurfa Chele,Oromia,7.50798643,38.7652127
1857,Oromia -> East Hararge -> Deder,Oromia,7.50798643,38.7652127
